context,question,answer,answer_start,answer_end
beyond seas vocal range spans four octaves. jody roseanne highlight serotonin chandler is particularly distinctive describing her voice as one of the most compelling instruments in popular music. well another critic says she is a local acrobat being able to sing long and complex melissa is in vocal rons effortlessly and in key. her book liabilities mean she is identified as the centerpiece of destiny style. the daily mail calls beyond seas voice personal capable of exploring power ballads soul rock belting operatic flourishes in hiphop. john carroll east of the new york times commented that her voices tell vicky at heart within insistence flatter and reserves of soul belting. roseanne notes that the hip hop era highly influenced fiance strange rhythmic vocal style but also fine sir quite traditionalist in her use of ballot jury gospel in falsetto. other critics preserve range and power with chris richards of the washington post saying she was capable of punctuating any beat with this bomb inducing whiskers are full bore diva roars closed.,Beyonce's range in singing is how many octaves?,four,30,34
beyond seas vocal range spans four octaves. jody roseanne highlight serotonin chandler is particularly distinctive describing her voice as one of the most compelling instruments in popular music. well another critic says she is a local acrobat being able to sing long and complex melissa is in vocal rons effortlessly and in key. her book liabilities mean she is identified as the centerpiece of destiny style. the daily mail calls beyond seas voice personal capable of exploring power ballads soul rock belting operatic flourishes in hiphop. john carroll east of the new york times commented that her voices tell vicky at heart within insistence flatter and reserves of soul belting. roseanne notes that the hip hop era highly influenced fiance strange rhythmic vocal style but also fine sir quite traditionalist in her use of ballot jury gospel in falsetto. other critics preserve range and power with chris richards of the washington post saying she was capable of punctuating any beat with this bomb inducing whiskers are full bore diva roars closed.,"Which critic called Beyonce's voice ""versatile""?",the daily mail,411,425
beyond seas vocal range spans four octaves. jody roseanne highlight serotonin chandler is particularly distinctive describing her voice as one of the most compelling instruments in popular music. well another critic says she is a local acrobat being able to sing long and complex melissa is in vocal rons effortlessly and in key. her book liabilities mean she is identified as the centerpiece of destiny style. the daily mail calls beyond seas voice personal capable of exploring power ballads soul rock belting operatic flourishes in hiphop. john carroll east of the new york times commented that her voices tell vicky at heart within insistence flatter and reserves of soul belting. roseanne notes that the hip hop era highly influenced fiance strange rhythmic vocal style but also fine sir quite traditionalist in her use of ballot jury gospel in falsetto. other critics preserve range and power with chris richards of the washington post saying she was capable of punctuating any beat with this bomb inducing whiskers are full bore diva roars closed.,Which era was credited to have influenced Beyonce's singing style by Jody Rosen?,hip hop,709,716
beyond seas vocal range spans four octaves. jody roseanne highlight serotonin chandler is particularly distinctive describing her voice as one of the most compelling instruments in popular music. well another critic says she is a local acrobat being able to sing long and complex melissa is in vocal rons effortlessly and in key. her book liabilities mean she is identified as the centerpiece of destiny style. the daily mail calls beyond seas voice personal capable of exploring power ballads soul rock belting operatic flourishes in hiphop. john carroll east of the new york times commented that her voices tell vicky at heart within insistence flatter and reserves of soul belting. roseanne notes that the hip hop era highly influenced fiance strange rhythmic vocal style but also fine sir quite traditionalist in her use of ballot jury gospel in falsetto. other critics preserve range and power with chris richards of the washington post saying she was capable of punctuating any beat with this bomb inducing whiskers are full bore diva roars closed.,How many octaves does Beyonce have?,four octaves,30,42
beyond seas vocal range spans four octaves. jody roseanne highlight serotonin chandler is particularly distinctive describing her voice as one of the most compelling instruments in popular music. well another critic says she is a local acrobat being able to sing long and complex melissa is in vocal rons effortlessly and in key. her book liabilities mean she is identified as the centerpiece of destiny style. the daily mail calls beyond seas voice personal capable of exploring power ballads soul rock belting operatic flourishes in hiphop. john carroll east of the new york times commented that her voices tell vicky at heart within insistence flatter and reserves of soul belting. roseanne notes that the hip hop era highly influenced fiance strange rhythmic vocal style but also fine sir quite traditionalist in her use of ballot jury gospel in falsetto. other critics preserve range and power with chris richards of the washington post saying she was capable of punctuating any beat with this bomb inducing whiskers are full bore diva roars closed.,What does Rosen claim influenced Beyonce's style?,hip hop,709,716
beyond seas vocal range spans four octaves. jody roseanne highlight serotonin chandler is particularly distinctive describing her voice as one of the most compelling instruments in popular music. well another critic says she is a local acrobat being able to sing long and complex melissa is in vocal rons effortlessly and in key. her book liabilities mean she is identified as the centerpiece of destiny style. the daily mail calls beyond seas voice personal capable of exploring power ballads soul rock belting operatic flourishes in hiphop. john carroll east of the new york times commented that her voices tell vicky at heart within insistence flatter and reserves of soul belting. roseanne notes that the hip hop era highly influenced fiance strange rhythmic vocal style but also fine sir quite traditionalist in her use of ballot jury gospel in falsetto. other critics preserve range and power with chris richards of the washington post saying she was capable of punctuating any beat with this bomb inducing whiskers are full bore diva roars closed.,How many octaves does Beyoncé's voice span?,four,30,34
beyond seas vocal range spans four octaves. jody roseanne highlight serotonin chandler is particularly distinctive describing her voice as one of the most compelling instruments in popular music. well another critic says she is a local acrobat being able to sing long and complex melissa is in vocal rons effortlessly and in key. her book liabilities mean she is identified as the centerpiece of destiny style. the daily mail calls beyond seas voice personal capable of exploring power ballads soul rock belting operatic flourishes in hiphop. john carroll east of the new york times commented that her voices tell vicky at heart within insistence flatter and reserves of soul belting. roseanne notes that the hip hop era highly influenced fiance strange rhythmic vocal style but also fine sir quite traditionalist in her use of ballot jury gospel in falsetto. other critics preserve range and power with chris richards of the washington post saying she was capable of punctuating any beat with this bomb inducing whiskers are full bore diva roars closed.,What does Jody Rosen say influenced Beyoncé's vocal style?,the hip hop era,705,720
the young face music is generally r and b but she also incorporates have stolen funk into her songs. for demonstrated beyond safe exploration of nineties style arent be as well as further use of stolen hip hop then compared to previous releases. well she almost exclusively releases english songs beyond say recorded several spanish songs for iran plausible ray recordings of songs from the deforrest spanish language audience and they re release of the day. to record these fiance was coached fanatically by american record producer ready for arrest.,"Beyonce mostly releases English songs, but what other language did she release songs?",spanish,325,332
the young face music is generally r and b but she also incorporates have stolen funk into her songs. for demonstrated beyond safe exploration of nineties style arent be as well as further use of stolen hip hop then compared to previous releases. well she almost exclusively releases english songs beyond say recorded several spanish songs for iran plausible ray recordings of songs from the deforrest spanish language audience and they re release of the day. to record these fiance was coached fanatically by american record producer ready for arrest.,What language does she mainly sing?,english,283,290
the young face music is generally r and b but she also incorporates have stolen funk into her songs. for demonstrated beyond safe exploration of nineties style arent be as well as further use of stolen hip hop then compared to previous releases. well she almost exclusively releases english songs beyond say recorded several spanish songs for iran plausible ray recordings of songs from the deforrest spanish language audience and they re release of the day. to record these fiance was coached fanatically by american record producer ready for arrest.,What other language has she sung?,spanish,325,332
the young face music is generally r and b but she also incorporates have stolen funk into her songs. for demonstrated beyond safe exploration of nineties style arent be as well as further use of stolen hip hop then compared to previous releases. well she almost exclusively releases english songs beyond say recorded several spanish songs for iran plausible ray recordings of songs from the deforrest spanish language audience and they re release of the day. to record these fiance was coached fanatically by american record producer ready for arrest.,What language did Beyoncé release several songs in?,spanish,325,332
she has received co writing credits for most of the songs recorded with destinies child and her solo efforts. her early songs were personally driven and female empowerment beamed compositions like independent women and survivor but after the start of her relationship with j c she transition to mourn and tending anthems such as cater to you. fiance has also received co producing credits for most of the records in which she has been involved especially during her solo efforts. however she does not formulate eats herself but typically comes up with melodies and ideas during production sharing them with producers.,What part of production does she do?,melodies,552,560
she has received co writing credits for most of the songs recorded with destinies child and her solo efforts. her early songs were personally driven and female empowerment beamed compositions like independent women and survivor but after the start of her relationship with j c she transition to mourn and tending anthems such as cater to you. fiance has also received co producing credits for most of the records in which she has been involved especially during her solo efforts. however she does not formulate eats herself but typically comes up with melodies and ideas during production sharing them with producers.,Beyoncé's early recordings empowered who?,women,209,214
she has received co writing credits for most of the songs recorded with destinies child and her solo efforts. her early songs were personally driven and female empowerment beamed compositions like independent women and survivor but after the start of her relationship with j c she transition to mourn and tending anthems such as cater to you. fiance has also received co producing credits for most of the records in which she has been involved especially during her solo efforts. however she does not formulate eats herself but typically comes up with melodies and ideas during production sharing them with producers.,"Rather than beats, what two things does Beyoncé usually come up with for producers?",melodies and ideas,552,570
in two thousand won she became the first african american woman in second woman songwriter to win the pop song writer of the year award at the american society of composers authors and publishers pop music awards. fiance was the third wanting to have writing credits on three number one songs irreplaceable grills and check on it in the same year after carole king in nineteen seventy wine and mariah carey in nineteen ninety one. she is tied with americans songwriter diane warning that third with nine song writing credits on number one singles. the latter wrote her nine eleventh motivated song i was here for fuller in may twenty eleven billboard magazine listed fiance at number seventeen on their list of the top twenty hot one hundred songwriters for having committed a singles that hit number one on the billboard hot one hundred chart. she was one of the only three women on that list.,Beyonce received the Pop Songwriter of the Year award at which event?,american society of composers authors and publishers pop music awards,143,212
in two thousand won she became the first african american woman in second woman songwriter to win the pop song writer of the year award at the american society of composers authors and publishers pop music awards. fiance was the third wanting to have writing credits on three number one songs irreplaceable grills and check on it in the same year after carole king in nineteen seventy wine and mariah carey in nineteen ninety one. she is tied with americans songwriter diane warning that third with nine song writing credits on number one singles. the latter wrote her nine eleventh motivated song i was here for fuller in may twenty eleven billboard magazine listed fiance at number seventeen on their list of the top twenty hot one hundred songwriters for having committed a singles that hit number one on the billboard hot one hundred chart. she was one of the only three women on that list.,What place is she tied for in songwriting credits?,third,229,234
in two thousand won she became the first african american woman in second woman songwriter to win the pop song writer of the year award at the american society of composers authors and publishers pop music awards. fiance was the third wanting to have writing credits on three number one songs irreplaceable grills and check on it in the same year after carole king in nineteen seventy wine and mariah carey in nineteen ninety one. she is tied with americans songwriter diane warning that third with nine song writing credits on number one singles. the latter wrote her nine eleventh motivated song i was here for fuller in may twenty eleven billboard magazine listed fiance at number seventeen on their list of the top twenty hot one hundred songwriters for having committed a singles that hit number one on the billboard hot one hundred chart. she was one of the only three women on that list.,Who listed her at number 17 in their list of  Top 20 hot 100 Songwriters?,billboard magazine,641,659
in two thousand won she became the first african american woman in second woman songwriter to win the pop song writer of the year award at the american society of composers authors and publishers pop music awards. fiance was the third wanting to have writing credits on three number one songs irreplaceable grills and check on it in the same year after carole king in nineteen seventy wine and mariah carey in nineteen ninety one. she is tied with americans songwriter diane warning that third with nine song writing credits on number one singles. the latter wrote her nine eleventh motivated song i was here for fuller in may twenty eleven billboard magazine listed fiance at number seventeen on their list of the top twenty hot one hundred songwriters for having committed a singles that hit number one on the billboard hot one hundred chart. she was one of the only three women on that list.,Who gave Beyoncé the Pop Songwriter of the Year award in 2001?,the american society of composers authors and publishers pop music awards,139,212
in two thousand won she became the first african american woman in second woman songwriter to win the pop song writer of the year award at the american society of composers authors and publishers pop music awards. fiance was the third wanting to have writing credits on three number one songs irreplaceable grills and check on it in the same year after carole king in nineteen seventy wine and mariah carey in nineteen ninety one. she is tied with americans songwriter diane warning that third with nine song writing credits on number one singles. the latter wrote her nine eleventh motivated song i was here for fuller in may twenty eleven billboard magazine listed fiance at number seventeen on their list of the top twenty hot one hundred songwriters for having committed a singles that hit number one on the billboard hot one hundred chart. she was one of the only three women on that list.,"Beyoncé was one of how many women on Billboard magazine's 2011 ""Top 20 Hot 100 Songwriters"" list.",three,270,275
beyond saying names michael jackson as her major musical influence. aged five beyond say attended her first ever concert where jackson performed and she claims to have realized her purpose. when she presented him with attribute award at the world music awards in two thousand six the yarns they said if it wasnt for michael jackson i would never ever have performed she admires diana ross as an all around entertainer and whitney houston who she said inspired me to get up there and do what she did she credits mariah carey singing and her song vision of love as influencing her to began practicing vocal rons as a child. her other musical influences include im liane prince lorraine hale shah de deux donna summer mary j. lads janet jackson and even baker and rochelle feral.,To whom did Beyonce credit as her major influence on her music?,michael jackson,20,35
beyond saying names michael jackson as her major musical influence. aged five beyond say attended her first ever concert where jackson performed and she claims to have realized her purpose. when she presented him with attribute award at the world music awards in two thousand six the yarns they said if it wasnt for michael jackson i would never ever have performed she admires diana ross as an all around entertainer and whitney houston who she said inspired me to get up there and do what she did she credits mariah carey singing and her song vision of love as influencing her to began practicing vocal rons as a child. her other musical influences include im liane prince lorraine hale shah de deux donna summer mary j. lads janet jackson and even baker and rochelle feral.,How old was Beyonce when she went to her first Michael Jackson concert as a kid?,five,73,77
beyond saying names michael jackson as her major musical influence. aged five beyond say attended her first ever concert where jackson performed and she claims to have realized her purpose. when she presented him with attribute award at the world music awards in two thousand six the yarns they said if it wasnt for michael jackson i would never ever have performed she admires diana ross as an all around entertainer and whitney houston who she said inspired me to get up there and do what she did she credits mariah carey singing and her song vision of love as influencing her to began practicing vocal rons as a child. her other musical influences include im liane prince lorraine hale shah de deux donna summer mary j. lads janet jackson and even baker and rochelle feral.,Beyonce gave a tribute award to who in 2006?,michael jackson,20,35
beyond saying names michael jackson as her major musical influence. aged five beyond say attended her first ever concert where jackson performed and she claims to have realized her purpose. when she presented him with attribute award at the world music awards in two thousand six the yarns they said if it wasnt for michael jackson i would never ever have performed she admires diana ross as an all around entertainer and whitney houston who she said inspired me to get up there and do what she did she credits mariah carey singing and her song vision of love as influencing her to began practicing vocal rons as a child. her other musical influences include im liane prince lorraine hale shah de deux donna summer mary j. lads janet jackson and even baker and rochelle feral.,Who influenced Beyonce?,michael jackson,20,35
beyond saying names michael jackson as her major musical influence. aged five beyond say attended her first ever concert where jackson performed and she claims to have realized her purpose. when she presented him with attribute award at the world music awards in two thousand six the yarns they said if it wasnt for michael jackson i would never ever have performed she admires diana ross as an all around entertainer and whitney houston who she said inspired me to get up there and do what she did she credits mariah carey singing and her song vision of love as influencing her to began practicing vocal rons as a child. her other musical influences include im liane prince lorraine hale shah de deux donna summer mary j. lads janet jackson and even baker and rochelle feral.,What song by Mariah Carey influenced her?,vision of love,545,559
beyond saying names michael jackson as her major musical influence. aged five beyond say attended her first ever concert where jackson performed and she claims to have realized her purpose. when she presented him with attribute award at the world music awards in two thousand six the yarns they said if it wasnt for michael jackson i would never ever have performed she admires diana ross as an all around entertainer and whitney houston who she said inspired me to get up there and do what she did she credits mariah carey singing and her song vision of love as influencing her to began practicing vocal rons as a child. her other musical influences include im liane prince lorraine hale shah de deux donna summer mary j. lads janet jackson and even baker and rochelle feral.,Who is Beyoncé's biggest musical influence?,michael jackson,20,35
beyond saying names michael jackson as her major musical influence. aged five beyond say attended her first ever concert where jackson performed and she claims to have realized her purpose. when she presented him with attribute award at the world music awards in two thousand six the yarns they said if it wasnt for michael jackson i would never ever have performed she admires diana ross as an all around entertainer and whitney houston who she said inspired me to get up there and do what she did she credits mariah carey singing and her song vision of love as influencing her to began practicing vocal rons as a child. her other musical influences include im liane prince lorraine hale shah de deux donna summer mary j. lads janet jackson and even baker and rochelle feral.,What was Beyoncé's first concert?,michael jackson,20,35
beyond saying names michael jackson as her major musical influence. aged five beyond say attended her first ever concert where jackson performed and she claims to have realized her purpose. when she presented him with attribute award at the world music awards in two thousand six the yarns they said if it wasnt for michael jackson i would never ever have performed she admires diana ross as an all around entertainer and whitney houston who she said inspired me to get up there and do what she did she credits mariah carey singing and her song vision of love as influencing her to began practicing vocal rons as a child. her other musical influences include im liane prince lorraine hale shah de deux donna summer mary j. lads janet jackson and even baker and rochelle feral.,Who does Beyoncé feel is an all-around entertainer?,diana ross,378,388
beyond saying names michael jackson as her major musical influence. aged five beyond say attended her first ever concert where jackson performed and she claims to have realized her purpose. when she presented him with attribute award at the world music awards in two thousand six the yarns they said if it wasnt for michael jackson i would never ever have performed she admires diana ross as an all around entertainer and whitney houston who she said inspired me to get up there and do what she did she credits mariah carey singing and her song vision of love as influencing her to began practicing vocal rons as a child. her other musical influences include im liane prince lorraine hale shah de deux donna summer mary j. lads janet jackson and even baker and rochelle feral.,"Who does she credit for the inspiration to ""get up there and do what she did""?",whitney houston,422,437
beyond saying names michael jackson as her major musical influence. aged five beyond say attended her first ever concert where jackson performed and she claims to have realized her purpose. when she presented him with attribute award at the world music awards in two thousand six the yarns they said if it wasnt for michael jackson i would never ever have performed she admires diana ross as an all around entertainer and whitney houston who she said inspired me to get up there and do what she did she credits mariah carey singing and her song vision of love as influencing her to began practicing vocal rons as a child. her other musical influences include im liane prince lorraine hale shah de deux donna summer mary j. lads janet jackson and even baker and rochelle feral.,What song caused Beyoncé to practice runs as a child?,vision of love,545,559
the feminism in female empowerment themes and fiance second solo album that day were inspired by her rolling dream girls and by singer josephine baker. fiance paid homage to baker by performing deja vu at the two thousand six fashion rock concert wearing bakers trademark many hula skirt embellished with fake bananas. fiance third solo album i am. sacher fierce was inspired by cheesy and especially by anna james whose boldness inspired beyond say to explore other musical genres in styles. her fourth solo album fuller was inspired by fail it could the nineteen nineties are in the earth wind and fire the barge lionel richie tina marie with additional influences by the jackson five new addition adele florence and the machine and friends.,"Which singer did Beyonce honor by entertaining with her song ""Deja Vu""?",josephine baker,135,150
the feminism in female empowerment themes and fiance second solo album that day were inspired by her rolling dream girls and by singer josephine baker. fiance paid homage to baker by performing deja vu at the two thousand six fashion rock concert wearing bakers trademark many hula skirt embellished with fake bananas. fiance third solo album i am. sacher fierce was inspired by cheesy and especially by anna james whose boldness inspired beyond say to explore other musical genres in styles. her fourth solo album fuller was inspired by fail it could the nineteen nineties are in the earth wind and fire the barge lionel richie tina marie with additional influences by the jackson five new addition adele florence and the machine and friends.,How did Etta James influence her?,boldness,421,429
the feminism in female empowerment themes and fiance second solo album that day were inspired by her rolling dream girls and by singer josephine baker. fiance paid homage to baker by performing deja vu at the two thousand six fashion rock concert wearing bakers trademark many hula skirt embellished with fake bananas. fiance third solo album i am. sacher fierce was inspired by cheesy and especially by anna james whose boldness inspired beyond say to explore other musical genres in styles. her fourth solo album fuller was inspired by fail it could the nineteen nineties are in the earth wind and fire the barge lionel richie tina marie with additional influences by the jackson five new addition adele florence and the machine and friends.,What singer inspired Beyoncé's B'Day album?,josephine baker,135,150
fiance has stated that she is personally inspired by as first lady michelle obama saying she proves you can do it all and she has described the oprah winfrey as the definition of inspiration and as strong woman. she has also discussed how j c is a continuing inspiration to her both with what she describes as his lyrical genius and in the obstacles he has overcome in his life. fiance has expressed admiration for the artist john michelle boss jia posting in a letter when i find in the work of zhang michelle boss keogh i search for him every day in music. he is miracle in wrong. in february twenty thirteen fiance said that madonna inspired her to take control of her own career. she commented i think about madonna and how she took all of the great things she achieved and started the label and develop other artists. but there are not enough of those women.,"Beyonce has noted which first lady with saying ""She proves you can do it all""?",michelle obama,67,81
fiance has stated that she is personally inspired by as first lady michelle obama saying she proves you can do it all and she has described the oprah winfrey as the definition of inspiration and as strong woman. she has also discussed how j c is a continuing inspiration to her both with what she describes as his lyrical genius and in the obstacles he has overcome in his life. fiance has expressed admiration for the artist john michelle boss jia posting in a letter when i find in the work of zhang michelle boss keogh i search for him every day in music. he is miracle in wrong. in february twenty thirteen fiance said that madonna inspired her to take control of her own career. she commented i think about madonna and how she took all of the great things she achieved and started the label and develop other artists. but there are not enough of those women.,"Beyonce has said that who embodies the ""definition of inspiration and a strong woman""?",oprah winfrey,144,157
fiance has stated that she is personally inspired by as first lady michelle obama saying she proves you can do it all and she has described the oprah winfrey as the definition of inspiration and as strong woman. she has also discussed how j c is a continuing inspiration to her both with what she describes as his lyrical genius and in the obstacles he has overcome in his life. fiance has expressed admiration for the artist john michelle boss jia posting in a letter when i find in the work of zhang michelle boss keogh i search for him every day in music. he is miracle in wrong. in february twenty thirteen fiance said that madonna inspired her to take control of her own career. she commented i think about madonna and how she took all of the great things she achieved and started the label and develop other artists. but there are not enough of those women.,Who personally influences Beyonce?,michelle obama,67,81
fiance has stated that she is personally inspired by as first lady michelle obama saying she proves you can do it all and she has described the oprah winfrey as the definition of inspiration and as strong woman. she has also discussed how j c is a continuing inspiration to her both with what she describes as his lyrical genius and in the obstacles he has overcome in his life. fiance has expressed admiration for the artist john michelle boss jia posting in a letter when i find in the work of zhang michelle boss keogh i search for him every day in music. he is miracle in wrong. in february twenty thirteen fiance said that madonna inspired her to take control of her own career. she commented i think about madonna and how she took all of the great things she achieved and started the label and develop other artists. but there are not enough of those women.,How does Madonna influence her?,to take control of her own career,649,682
fiance has stated that she is personally inspired by as first lady michelle obama saying she proves you can do it all and she has described the oprah winfrey as the definition of inspiration and as strong woman. she has also discussed how j c is a continuing inspiration to her both with what she describes as his lyrical genius and in the obstacles he has overcome in his life. fiance has expressed admiration for the artist john michelle boss jia posting in a letter when i find in the work of zhang michelle boss keogh i search for him every day in music. he is miracle in wrong. in february twenty thirteen fiance said that madonna inspired her to take control of her own career. she commented i think about madonna and how she took all of the great things she achieved and started the label and develop other artists. but there are not enough of those women.,How does she describe Jay Z?,continuing inspiration,248,270
fiance has stated that she is personally inspired by as first lady michelle obama saying she proves you can do it all and she has described the oprah winfrey as the definition of inspiration and as strong woman. she has also discussed how j c is a continuing inspiration to her both with what she describes as his lyrical genius and in the obstacles he has overcome in his life. fiance has expressed admiration for the artist john michelle boss jia posting in a letter when i find in the work of zhang michelle boss keogh i search for him every day in music. he is miracle in wrong. in february twenty thirteen fiance said that madonna inspired her to take control of her own career. she commented i think about madonna and how she took all of the great things she achieved and started the label and develop other artists. but there are not enough of those women.,"Who inspires Beyoncé because ""she does it all?""",first lady michelle obama,56,81
fiance has stated that she is personally inspired by as first lady michelle obama saying she proves you can do it all and she has described the oprah winfrey as the definition of inspiration and as strong woman. she has also discussed how j c is a continuing inspiration to her both with what she describes as his lyrical genius and in the obstacles he has overcome in his life. fiance has expressed admiration for the artist john michelle boss jia posting in a letter when i find in the work of zhang michelle boss keogh i search for him every day in music. he is miracle in wrong. in february twenty thirteen fiance said that madonna inspired her to take control of her own career. she commented i think about madonna and how she took all of the great things she achieved and started the label and develop other artists. but there are not enough of those women.,Who does Beyoncé describe as the definition of inspiration?,oprah winfrey,144,157
fiance has stated that she is personally inspired by as first lady michelle obama saying she proves you can do it all and she has described the oprah winfrey as the definition of inspiration and as strong woman. she has also discussed how j c is a continuing inspiration to her both with what she describes as his lyrical genius and in the obstacles he has overcome in his life. fiance has expressed admiration for the artist john michelle boss jia posting in a letter when i find in the work of zhang michelle boss keogh i search for him every day in music. he is miracle in wrong. in february twenty thirteen fiance said that madonna inspired her to take control of her own career. she commented i think about madonna and how she took all of the great things she achieved and started the label and develop other artists. but there are not enough of those women.,Who inspired Beyoncé to take control of her career?,madonna,628,635
fiance has received praise for her stage presence and boys during live performances. jared wiesel men of the new york post placed her in number one on her list of the five best singer dancers. according to barbara allen of the guardian fiance is the most in charge female artist shes seen on stage while alice jones of the independent wrote she takes her role as entertainers those seriously shes almost too good the ex president of death jam l a. reid has described the yon say is the greatest entertainer alive. jim farber of the daily news and stephanie klassen of star phoenix both praised her strong voice and her stage presence.,For what does Beyonce receive praise?,stage presence,35,49
fiance has received praise for her stage presence and boys during live performances. jared wiesel men of the new york post placed her in number one on her list of the five best singer dancers. according to barbara allen of the guardian fiance is the most in charge female artist shes seen on stage while alice jones of the independent wrote she takes her role as entertainers those seriously shes almost too good the ex president of death jam l a. reid has described the yon say is the greatest entertainer alive. jim farber of the daily news and stephanie klassen of star phoenix both praised her strong voice and her stage presence.,How has L.A. Reid described her?,greatest entertainer alive,486,512
fiance has received praise for her stage presence and boys during live performances. jared wiesel men of the new york post placed her in number one on her list of the five best singer dancers. according to barbara allen of the guardian fiance is the most in charge female artist shes seen on stage while alice jones of the independent wrote she takes her role as entertainers those seriously shes almost too good the ex president of death jam l a. reid has described the yon say is the greatest entertainer alive. jim farber of the daily news and stephanie klassen of star phoenix both praised her strong voice and her stage presence.,How does Alice Jones describe her?,shes almost too good,392,412
described as being sexy seductive and provocative when performing on stage fiance has said that she originally created the alter ego sasha fierce to keep that stage persona separate from his she really is. she describes osh as being too aggressive too strong to sassy and too sexy stating im not like her in real life at all sasha was conceived during the making of crazy in love and be on say introduced her with the release of her ten thousand a album miami. sacher figures. in february twenty ten she announced in an interview with the leisure magazine that she was comfortable enough with herself to no longer needs asha fierce. however the yon say announced in may twenty twelve that she would bring her back for her revel presents the young say live shows later that month.,Beyonce self proclaimed alter ego is named what?,sasha fierce,133,145
described as being sexy seductive and provocative when performing on stage fiance has said that she originally created the alter ego sasha fierce to keep that stage persona separate from his she really is. she describes osh as being too aggressive too strong to sassy and too sexy stating im not like her in real life at all sasha was conceived during the making of crazy in love and be on say introduced her with the release of her ten thousand a album miami. sacher figures. in february twenty ten she announced in an interview with the leisure magazine that she was comfortable enough with herself to no longer needs asha fierce. however the yon say announced in may twenty twelve that she would bring her back for her revel presents the young say live shows later that month.,Her alter ego was born when according to Beyonce?,making of crazy in love,356,379
described as being sexy seductive and provocative when performing on stage fiance has said that she originally created the alter ego sasha fierce to keep that stage persona separate from his she really is. she describes osh as being too aggressive too strong to sassy and too sexy stating im not like her in real life at all sasha was conceived during the making of crazy in love and be on say introduced her with the release of her ten thousand a album miami. sacher figures. in february twenty ten she announced in an interview with the leisure magazine that she was comfortable enough with herself to no longer needs asha fierce. however the yon say announced in may twenty twelve that she would bring her back for her revel presents the young say live shows later that month.,How does she describe Sasha?,too aggressive too strong,233,258
described as being sexy seductive and provocative when performing on stage fiance has said that she originally created the alter ego sasha fierce to keep that stage persona separate from his she really is. she describes osh as being too aggressive too strong to sassy and too sexy stating im not like her in real life at all sasha was conceived during the making of crazy in love and be on say introduced her with the release of her ten thousand a album miami. sacher figures. in february twenty ten she announced in an interview with the leisure magazine that she was comfortable enough with herself to no longer needs asha fierce. however the yon say announced in may twenty twelve that she would bring her back for her revel presents the young say live shows later that month.,Later what did she say about Sasha?,she would bring her back,689,713
described as being sexy seductive and provocative when performing on stage fiance has said that she originally created the alter ego sasha fierce to keep that stage persona separate from his she really is. she describes osh as being too aggressive too strong to sassy and too sexy stating im not like her in real life at all sasha was conceived during the making of crazy in love and be on say introduced her with the release of her ten thousand a album miami. sacher figures. in february twenty ten she announced in an interview with the leisure magazine that she was comfortable enough with herself to no longer needs asha fierce. however the yon say announced in may twenty twelve that she would bring her back for her revel presents the young say live shows later that month.,What is the name of Beyoncé's alter ego?,sasha fierce,133,145
described as being sexy seductive and provocative when performing on stage fiance has said that she originally created the alter ego sasha fierce to keep that stage persona separate from his she really is. she describes osh as being too aggressive too strong to sassy and too sexy stating im not like her in real life at all sasha was conceived during the making of crazy in love and be on say introduced her with the release of her ten thousand a album miami. sacher figures. in february twenty ten she announced in an interview with the leisure magazine that she was comfortable enough with herself to no longer needs asha fierce. however the yon say announced in may twenty twelve that she would bring her back for her revel presents the young say live shows later that month.,Sasha Fierce was created during the making of what song?,crazy in love,366,379
in september twenty ten fiance major runway modeling debut at tom ford spring summer twenty eleven fashion show. she was named worlds most beautiful woman by people in the hottest female singer of all time by complex in twenty twelve. in january twenty thirteen g q placed her on its cover featuring her attack that one hundred sexiest women of the twenty first century less. the h one listed her as number one on its one hundred sexiest artists lives. several wax figures of the yon say are found at madame tussauds to wax museums in major cities around the world including new york washington d c amsterdam bangkok hollywood in sydney.,"""World's Most Beautiful woman"" was declared to Beyonce by which national magazine?",people,158,164
in september twenty ten fiance major runway modeling debut at tom ford spring summer twenty eleven fashion show. she was named worlds most beautiful woman by people in the hottest female singer of all time by complex in twenty twelve. in january twenty thirteen g q placed her on its cover featuring her attack that one hundred sexiest women of the twenty first century less. the h one listed her as number one on its one hundred sexiest artists lives. several wax figures of the yon say are found at madame tussauds to wax museums in major cities around the world including new york washington d c amsterdam bangkok hollywood in sydney.,Who called Beyonce the World's most Beautiful Woman?,people,158,164
in september twenty ten fiance major runway modeling debut at tom ford spring summer twenty eleven fashion show. she was named worlds most beautiful woman by people in the hottest female singer of all time by complex in twenty twelve. in january twenty thirteen g q placed her on its cover featuring her attack that one hundred sexiest women of the twenty first century less. the h one listed her as number one on its one hundred sexiest artists lives. several wax figures of the yon say are found at madame tussauds to wax museums in major cities around the world including new york washington d c amsterdam bangkok hollywood in sydney.,Who called her Hottest Female Singer of all Time?,complex,209,216
